State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g),State Code,Division,Region
Alaska,AK,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,101,34.4,3505.4,AK,West,Pacific
Alaska,AK,2016,M,Unknown or Not Stated,-9,85,29.6,3412.2,AK,West,Pacific
Alaska,AK,2017,F,8th grade or less,1,45,28.3,3077.3,AK,West,Pacific
Alaska,AK,2017,F,9th through 12th grade with no diploma,2,466,24.0,3241.4,AK,West,Pacific
Alaska,AK,2017,F,High school graduate or GED completed,3,1522,26.6,3321.5,AK,West,Pacific
Alaska,AK,2017,F,"Some college credit, but not a degree",4,1323,27.8,3358.6,AK,West,Pacific
Alaska,AK,2017,F,"Associate degree (AA, AS)",5,420,30.0,3365.0,AK,West,Pacific
Alaska,AK,2017,F,"Bachelor's degree (BA, AB, BS)",6,796,31.3,3373.7,AK,West,Pacific
Alaska,AK,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,362,33.4,3391.9,AK,West,Pacific
Alaska,AK,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,93,34.0,3280.6,AK,West,Pacific
Alaska,AK,2017,F,Unknown or Not Stated,-9,71,29.1,3082.5,AK,West,Pacific
Alaska,AK,2017,M,8th grade or less,1,43,27.9,3315.0,AK,West,Pacific
Alaska,AK,2017,M,9th through 12th grade with no diploma,2,476,24.6,3373.2,AK,West,Pacific
Alaska,AK,2017,M,High school graduate or GED completed,3,1575,26.5,3447.3,AK,West,Pacific
Alaska,AK,2017,M,"Some college credit, but not a degree",4,1400,28.1,3459.8,AK,West,Pacific
Alaska,AK,2017,M,"Associate degree (AA, AS)",5,424,29.8,3455.8,AK,West,Pacific
Alaska,AK,2017,M,"Bachelor's degree (BA, AB, BS)",6,926,31.4,3486.8,AK,West,Pacific
Alaska,AK,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,326,33.4,3512.2,AK,West,Pacific
Alaska,AK,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,92,34.4,3381.3,AK,West,Pacific
Alaska,AK,2017,M,Unknown or Not Stated,-9,85,29.3,3337.0,AK,West,Pacific
Alaska,AK,2018,F,8th grade or less,1,36,28.1,3331.6,AK,West,Pacific
Alaska,AK,2018,F,9th through 12th grade with no diploma,2,439,24.6,3208.9,AK,West,Pacific
Alaska,AK,2018,F,High school graduate or GED completed,3,1430,26.5,3336.9,AK,West,Pacific
Alaska,AK,2018,F,"Some college credit, but not a degree",4,1242,28.2,3353.2,AK,West,Pacific
Alaska,AK,2018,F,"Associate degree (AA, AS)",5,408,30.1,3358.2,AK,West,Pacific
Alaska,AK,2018,F,"Bachelor's degree (BA, AB, BS)",6,838,31.4,3398.0,AK,West,Pacific
Alaska,AK,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,331,33.3,3408.3,AK,West,Pacific
Alaska,AK,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,96,34.0,3406.1,AK,West,Pacific
Alaska,AK,2018,F,Unknown or Not Stated,-9,58,29.7,3298.1,AK,West,Pacific
Alaska,AK,2018,M,8th grade or less,1,27,28.8,3254.3,AK,West,Pacific
Alaska,AK,2018,M,9th through 12th grade with no diploma,2,441,25.2,3343.2,AK,West,Pacific
Alaska,AK,2018,M,High school graduate or GED completed,3,1591,26.5,3448.0,AK,West,Pacific
Alaska,AK,2018,M,"Some college credit, but not a degree",4,1314,28.3,3464.2,AK,West,Pacific
Alaska,AK,2018,M,"Associate degree (AA, AS)",5,430,30.0,3491.6,AK,West,Pacific
